enhancer	S1_r1	S1_r2	S1_r3	S2_r1	S2_r2	S2_r3	S2_r4
chr21_42724520_42725103	1	2	4	90	8	180	16
chr21_42731515_42732033	0	1	2	62	18	124	36
chr21_42759334_42759533	8	0	0	7	1	14	2
chr21_42781547_42781875	1	0	0	37	12	74	24
chr21_42811962_42812492	0	0	0	50	11	100	22
chr21_42840284_42840544	11	1	2	8	0	16	0
chr21_42870927_42871108	6	0	0	10	3	20	6
chr21_42873351_42873692	11	2	4	8	3	16	6
chr21_42877465_42877875	15	13	26	49	6	98	12
chr21_42877987_42880811	462	313	626	1734	328	3468	656
chr21_42890645_42890890	3	8	16	23	4	46	8
chr21_42890902_42891080	7	1	2	13	1	26	2
chr21_42892133_42894287	307	158	316	1731	443	3462	886
chr21_42923578_42924021	22	12	24	24	6	48	12
chr21_42924075_42924946	131	67	134	111	18	222	36
chr21_42925543_42925912	17	3	6	16	4	32	8
chr21_42930069_42930336	11	5	10	10	4	20	8
chr21_42955150_42957459	21	14	28	628	84	1256	168
chr21_42971145_42974330	402	249	498	443	125	886	250
chr21_42974582_42976929	239	156	312	1683	478	3366	956
chr21_42980985_42981272	16	5	10	32	1	64	2
chr21_42989697_42989968	11	0	0	4	4	8	8
chr21_42992119_42992464	18	3	6	16	4	32	8
chr21_43006578_43006846	2	2	4	35	7	70	14
chr21_43045211_43045568	1	1	2	43	8	86	16
chr21_43045873_43046189	5	1	2	33	7	66	14
chr21_43106961_43107441	14	5	10	148	10	296	20
chr21_43187705_43187924	10	1	2	4	1	8	2
chr21_43196977_43197557	2	2	4	103	27	206	54
chr21_43287186_43289201	11	3	6	714	89	1428	178
chr21_43331067_43335002	19	2	4	2745	258	5490	516
chr21_43335093_43336053	3	1	2	136	11	272	22
chr21_43336957_43337372	4	1	2	45	3	90	6
chr21_43337478_43345473	25	2	4	3494	342	6988	684
chr21_43373458_43373756	1	0	0	24	3	48	6
chr21_43578325_43579131	2	0	0	292	27	584	54
chr21_43579243_43579927	1	1	2	114	18	228	36
chr21_43585125_43588003	12	1	2	1738	262	3476	524
chr21_43609121_43611071	4	2	4	840	168	1680	336
chr21_43611506_43611976	0	0	0	67	12	134	24
chr21_43612050_43612409	5	1	2	78	12	156	24
chr21_43645068_43646720	4	5	10	276	49	552	98
chr21_43654498_43655787	16	2	4	215	38	430	76
chr21_43658849_43660532	154	64	128	588	95	1176	190
chr21_43660595_43660792	13	4	8	18	1	36	2
chr21_43690514_43691370	10	1	2	108	24	216	48
chr21_43698345_43698739	21	4	8	9	1	18	2
chr21_43698897_43699348	23	12	24	13	2	26	4
chr21_43709697_43710233	2	0	0	59	16	118	32
chr21_43710427_43715221	20	6	12	3348	997	6696	1994
chr21_43715646_43715954	1	0	0	33	6	66	12
chr21_43716798_43717129	4	1	2	43	10	86	20
chr21_43718061_43722763	251	89	178	1424	191	2848	382
chr21_43724417_43725042	3	1	2	47	30	94	60
chr21_43725593_43726453	10	1	2	123	29	246	58
chr21_43726811_43729080	290	80	160	425	181	850	362
chr21_43729114_43729713	47	25	50	55	15	110	30
chr21_43733385_43734981	14	3	6	140	23	280	46
chr21_43737624_43738937	81	27	54	102	10	204	20
chr21_43739144_43739826	18	12	24	79	21	158	42
chr21_43739966_43741157	15	5	10	325	69	650	138
chr21_43741469_43742090	7	0	0	100	20	200	40
chr21_43745979_43746286	18	1	2	14	2	28	4
chr21_43746345_43746653	13	2	4	11	5	22	10
chr21_43748683_43748924	4	1	2	18	3	36	6
chr21_43749445_43749762	1	2	4	22	17	44	34
chr21_43753939_43754164	4	0	0	3	0	6	0
chr21_43763908_43764489	3	1	2	37	15	74	30
chr21_43764788_43765084	6	0	0	32	8	64	16
chr21_43766232_43769226	369	95	190	968	240	1936	480
chr21_43775320_43777039	63	34	68	753	196	1506	392
chr21_43778083_43779249	16	3	6	171	39	342	78
chr21_43779314_43779545	0	0	0	30	6	60	12
chr21_43781322_43781683	0	0	0	35	17	70	34
chr21_43782152_43783919	13	1	2	506	163	1012	326
chr21_43785533_43785989	0	1	2	40	8	80	16
chr21_43788495_43789487	48	26	52	367	143	734	286
chr21_43789512_43790627	119	66	132	303	60	606	120
chr21_43790893_43791392	20	6	12	21	4	42	8
chr21_43796997_43797311	9	1	2	6	1	12	2
chr21_43805212_43806292	45	13	26	28	6	56	12
chr21_43807831_43808007	7	0	0	2	1	4	2
chr21_43811017_43811262	14	2	4	9	2	18	4
chr21_43814355_43815159	10	3	6	94	29	188	58
chr21_43824034_43824693	52	8	16	23	5	46	10
chr21_43854371_43855391	213	108	216	17	7	34	14
chr21_43859168_43860887	80	52	104	58	12	116	24
chr21_43860944_43861244	16	4	8	9	0	18	0
chr21_43864249_43864752	35	11	22	75	14	150	28
chr21_43865448_43866969	99	111	222	190	36	380	72
chr21_43879852_43880938	27	8	16	212	34	424	68
chr21_43882759_43885785	728	175	350	350	54	700	108
chr21_43887065_43887287	12	0	0	6	1	12	2
chr21_43892766_43894683	119	79	158	65	13	130	26
chr21_43903018_43903183	6	0	0	9	2	18	4
chr21_43913884_43914434	6	13	26	18	2	36	4
chr21_43915951_43917802	171	87	174	69	11	138	22
chr21_43918065_43918663	24	16	32	25	9	50	18
chr21_43920183_43920677	18	4	8	12	2	24	4
chr21_43921183_43923124	265	101	202	63	9	126	18
chr21_43928080_43930587	18	5	10	1089	160	2178	320
chr21_43938586_43939235	111	29	58	35	5	70	10
chr21_43939350_43939762	27	2	4	31	6	62	12
chr21_43945237_43945694	1	1	2	47	7	94	14
chr21_43945806_43946302	3	3	6	65	13	130	26
chr21_43956310_43956741	3	1	2	40	3	80	6
chr21_43958563_43959214	29	2	4	16	9	32	18
chr21_43972664_43972930	18	2	4	11	0	22	0
chr21_43975001_43975628	50	6	12	28	2	56	4
chr21_44010086_44010626	6	5	10	75	7	150	14
chr21_44011377_44014207	268	197	394	971	152	1942	304
chr21_44015666_44016723	59	48	96	50	4	100	8
chr21_44016811_44018157	133	71	142	50	14	100	28
chr21_44018213_44019470	87	38	76	45	6	90	12
chr21_44019687_44020130	23	8	16	14	2	28	4
chr21_44020688_44021887	67	33	66	76	14	152	28
chr21_44023408_44023611	10	3	6	8	3	16	6
chr21_44024841_44027246	388	132	264	207	43	414	86
chr21_44028720_44028995	15	4	8	9	4	18	8
chr21_44029322_44030209	61	14	28	36	7	72	14
chr21_44042544_44042744	3	5	10	9	5	18	10
chr21_44043583_44044070	27	4	8	23	4	46	8
chr21_44066951_44067555	10	2	4	81	15	162	30
chr21_44082750_44084253	28	7	14	328	129	656	258
chr21_44207897_44208118	3	0	0	41	4	82	8
chr21_44299098_44301944	112	70	140	1279	283	2558	566
chr21_44302196_44302857	6	3	6	91	22	182	44
chr21_44337940_44338762	42	12	24	242	52	484	104
chr21_44338967_44340487	237	101	202	1442	400	2884	800
chr21_44341842_44343085	2	1	2	223	25	446	50
chr21_44370061_44371205	8	0	0	209	42	418	84
chr21_44392586_44393736	2	2	4	162	30	324	60
chr21_44398254_44398648	1	0	0	36	3	72	6
chr21_44398822_44399252	3	0	0	46	11	92	22
chr21_44419664_44419889	6	3	6	5	2	10	4
chr21_44427820_44428376	3	1	2	90	15	180	30
chr21_44455621_44456064	0	1	2	53	13	106	26
chr21_44465239_44465444	6	0	0	1	1	2	2
chr21_44505709_44506083	8	0	0	17	3	34	6
chr21_44517615_44517943	12	6	12	9	2	18	4
chr21_44572789_44573563	6	0	0	75	17	150	34
chr21_44580402_44580897	1	0	0	49	10	98	20
chr21_44593283_44594812	148	33	66	35	13	70	26
chr21_44618730_44618975	0	0	0	27	3	54	6
chr21_44753141_44753541	1	1	2	78	6	156	12
chr21_44764665_44766701	10	2	4	532	61	1064	122
chr21_44772578_44775105	20	3	6	1010	107	2020	214
chr21_44778140_44778869	41	5	10	54	14	108	28
chr21_44780520_44781037	18	1	2	25	9	50	18
chr21_44792820_44793410	25	5	10	27	8	54	16
chr21_44800519_44800754	13	5	10	23	12	46	24
chr21_44800776_44803096	272	141	282	602	117	1204	234
chr21_44817262_44817676	10	2	4	56	4	112	8
chr21_44817797_44819075	185	58	116	457	63	914	126
chr21_44836500_44837488	13	1	2	112	20	224	40
chr21_44852941_44853183	15	0	0	19	3	38	6
chr21_44853729_44855754	358	110	220	74	16	148	32
chr21_44857628_44859818	16	2	4	598	62	1196	124
chr21_44861625_44862091	28	0	0	16	5	32	10
chr21_44864993_44866544	38	5	10	178	32	356	64
chr21_44866816_44867374	26	10	20	34	8	68	16
chr21_44869671_44873781	179	63	126	1240	203	2480	406
chr21_44873865_44875783	94	51	102	393	84	786	168
chr21_44878183_44878902	61	11	22	58	16	116	32
chr21_44881010_44881309	11	4	8	9	8	18	16
chr21_44911142_44912729	13	3	6	436	55	872	110
chr21_44916337_44917914	4	4	8	283	41	566	82
chr21_44920096_44920352	8	0	0	6	2	12	4
chr21_44926561_44929428	22	8	16	980	140	1960	280
chr21_44939003_44940927	167	71	142	478	105	956	210
chr21_44967498_44967770	8	0	0	5	3	10	6
chr21_44968196_44968740	30	5	10	13	5	26	10
chr21_44972576_44972756	7	1	2	7	1	14	2
chr21_45050111_45050827	5	1	2	139	12	278	24
chr21_45051128_45051755	4	2	4	96	12	192	24
chr21_45073021_45074514	58	55	110	704	113	1408	226
chr21_45074694_45075414	11	4	8	101	12	202	24
chr21_45102191_45102502	0	1	2	41	11	82	22
chr21_45110959_45111238	13	5	10	10	3	20	6
chr21_45111484_45111818	10	14	28	11	2	22	4
chr21_45138373_45138776	22	10	20	17	4	34	8
chr21_45151654_45151872	9	2	4	2	3	4	6
chr21_45286565_45286844	5	1	2	24	1	48	2
chr21_45287424_45287942	7	4	8	243	21	486	42
chr21_45287987_45289105	16	14	28	183	29	366	58
chr21_45317194_45318456	2	0	0	230	93	460	186
chr21_45326645_45327869	3	0	0	133	28	266	56
chr21_45328863_45331329	7	1	2	1214	235	2428	470
chr21_45331564_45331875	0	1	2	25	4	50	8
chr21_45359764_45360310	36	4	8	7	2	14	4
chr21_45363580_45365087	116	12	24	591	173	1182	346
chr21_45377707_45379101	3	2	4	282	43	564	86
chr21_45386125_45387803	16	2	4	389	74	778	148
chr21_45402658_45404945	7	1	2	520	91	1040	182
chr21_45405191_45407170	29	13	26	485	82	970	164
chr21_45407210_45409425	17	4	8	382	119	764	238
chr21_45410181_45411680	203	52	104	38	10	76	20
chr21_45411803_45412218	58	15	30	8	1	16	2
chr21_45421095_45422341	5	2	4	242	60	484	120
chr21_45426949_45428502	11	1	2	262	68	524	136
chr21_45430596_45431194	8	0	0	60	10	120	20
chr21_45438947_45439563	42	13	26	59	9	118	18
chr21_45447284_45450201	15	4	8	1308	193	2616	386
chr21_45452795_45453313	8	1	2	70	5	140	10
chr21_45453406_45456273	9	3	6	780	164	1560	328
chr21_45460174_45460788	4	2	4	79	13	158	26
chr21_45460860_45461192	5	3	6	37	4	74	8
chr21_45465271_45465694	1	0	0	31	4	62	8
chr21_45466890_45467326	2	0	0	46	5	92	10
chr21_45469609_45472953	7	4	8	1563	457	3126	914
chr21_45478266_45478681	19	14	28	47	12	94	24
chr21_45482415_45482772	11	4	8	5	4	10	8
chr21_45502270_45502860	1	0	0	62	9	124	18
chr21_45511158_45517294	30	1	2	3455	899	6910	1798
chr21_45526908_45527546	3	0	0	83	17	166	34
chr21_45527828_45528332	1	0	0	68	10	136	20
chr21_45529682_45529994	9	1	2	14	2	28	4
chr21_45540931_45542768	47	46	92	196	24	392	48
chr21_45554468_45555119	9	2	4	115	110	230	220
chr21_45555472_45556565	13	13	26	470	135	940	270
chr21_45591128_45592375	200	24	48	37	4	74	8
chr21_45592491_45592903	40	2	4	43	7	86	14
chr21_45593671_45594107	26	19	38	10	0	20	0
chr21_45594126_45594412	3	7	14	11	5	22	10
chr21_45635493_45635877	18	1	2	11	1	22	2
chr21_45640268_45641225	5	1	2	128	27	256	54
chr21_45641314_45641871	1	0	0	72	21	144	42
chr21_45643722_45644431	5	3	6	156	10	312	20
chr21_45667738_45668843	0	3	6	199	31	398	62
chr21_45747199_45749070	8	0	0	316	71	632	142
chr21_45818174_45819594	6	0	0	238	41	476	82
chr21_45820426_45820706	1	0	0	21	18	42	36
chr21_45910216_45911006	3	0	0	135	13	270	26
chr21_45914503_45917203	14	1	2	1018	77	2036	154
chr21_45917383_45917802	3	1	2	55	7	110	14
chr21_45980423_45980811	1	0	0	43	3	86	6
chr21_45980877_45981564	9	2	4	183	30	366	60
chr21_46040970_46041189	13	1	2	5	3	10	6
chr21_46143672_46144414	88	37	74	53	19	106	38
chr21_46144829_46145051	9	1	2	13	1	26	2
chr21_46146965_46147590	3	2	4	99	23	198	46
chr21_46152681_46154533	183	58	116	32	26	64	52
chr21_46155903_46156683	40	4	8	13	1	26	2
chr21_46156860_46157169	10	2	4	5	4	10	8
chr21_46172516_46172693	5	0	0	2	1	4	2
chr21_46179412_46181172	76	34	68	36	14	72	28
chr21_46182724_46183539	76	29	58	16	3	32	6
chr21_46183922_46184492	124	57	114	36	7	72	14
chr21_46184575_46186237	81	76	152	295	110	590	220
chr21_46187288_46192323	216	84	168	3019	1025	6038	2050
chr21_46200340_46201300	18	3	6	180	23	360	46
chr21_46201448_46201966	8	1	2	81	15	162	30
chr21_46224454_46224773	19	4	8	8	2	16	4
chr21_46226154_46227559	48	12	24	159	70	318	140
chr21_46227613_46228925	57	19	38	464	135	928	270
chr21_46229183_46231012	198	94	188	293	110	586	220
chr21_46233612_46233812	7	2	4	10	5	20	10
chr21_46243718_46244001	13	1	2	15	2	30	4
chr21_46253441_46254135	93	13	26	25	10	50	20
chr21_46254270_46254783	19	6	12	16	4	32	8
chr21_46265082_46265287	8	1	2	6	0	12	0
chr21_46269175_46270034	7	0	0	91	19	182	38
chr21_46283881_46287893	268	141	282	2230	686	4460	1372
chr21_46291116_46292501	17	4	8	335	27	670	54
chr21_46294564_46295792	61	29	58	380	19	760	38
chr21_46295957_46296721	24	11	22	67	6	134	12
chr21_46313423_46313730	8	2	4	7	1	14	2
chr21_46317825_46319498	30	3	6	229	38	458	76
chr21_46319942_46324547	924	326	652	1508	412	3016	824
chr21_46324613_46326875	161	85	170	1389	417	2778	834
chr21_46369068_46369519	10	0	0	13	6	26	12
chr21_46378934_46379200	3	0	0	28	6	56	12
chr21_46423280_46423474	5	3	6	9	0	18	0
chr21_46435730_46435932	5	0	0	6	1	12	2
chr21_46441834_46442131	7	2	4	8	1	16	2
chr21_46455952_46456368	24	9	18	14	7	28	14
chr21_46457373_46458775	522	189	378	944	231	1888	462
chr21_46458889_46459493	49	13	26	215	37	430	74
chr21_46459589_46460337	17	18	36	109	47	218	94
chr21_46462083_46462458	5	5	10	30	3	60	6
chr21_46499851_46501265	128	50	100	375	96	750	192
chr21_46509155_46509520	3	1	2	36	5	72	10
chr21_46509657_46510009	1	0	0	45	8	90	16
chr21_46510191_46510534	3	2	4	33	5	66	10
chr21_46545132_46545500	5	1	2	43	7	86	14
chr21_46545635_46546148	4	0	0	66	11	132	22
chr21_46633994_46636820	460	155	310	1738	610	3476	1220
chr21_46636963_46637580	18	16	32	37	18	74	36
chr21_46637930_46638702	69	34	68	75	4	150	8
chr21_46643498_46644480	6	0	0	147	23	294	46
chr21_46661241_46661721	2	1	2	23	20	46	40
chr21_46667169_46668365	2	0	0	162	40	324	80
